Timestamp,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,stabilizer.thrust
3696974,0.02392669953405857,-3.7831952571868896,38.277103424072266,0
3697074,0.02596350573003292,-3.7825450897216797,38.279598236083984,0
3697174,0.028214186429977417,-3.7796471118927,38.28129959106445,0
3697274,0.029386421665549278,-3.781890630722046,38.28086853027344,0
3697374,0.02952190674841404,-3.7787880897521973,38.285430908203125,0
3697474,0.026940347626805305,-3.7805044651031494,38.28690719604492,0
3697574,0.02538171224296093,-3.7814364433288574,38.288516998291016,0
3697674,0.02668573148548603,-3.78070330619812,38.29069900512695,0
3697774,0.025176987051963806,-3.779432535171509,38.2930908203125,0
3697874,0.02818375825881958,-3.7801480293273926,38.294307708740234,0
3697974,0.026615934446454048,-3.7780604362487793,38.29963302612305,0
3698074,0.028044551610946655,-3.7806854248046875,38.30522918701172,0
3698174,0.02589685097336769,-3.7816035747528076,38.30742645263672,0
3698274,0.024827640503644943,-3.7817842960357666,38.31381607055664,0
3698374,0.01940412074327469,-3.782081365585327,38.315223693847656,0
3698474,0.017663469538092613,-3.7782249450683594,38.316829681396484,0
